"","uid","ext_int","spec_glob","valence","block"
"375","subCA1_47",25,55,"neg","block3"
"376","subCA1_47",60,52,"pos","block3"
"377","subCA1_48",17,20,"neg","block0"
"378","subCA1_48",83,37,"pos","block0"
"379","subCA1_48",15,6,"neg","block1"
"380","subCA1_48",82,78,"pos","block1"
"381","subCA1_48",7,10,"neg","block2"
"382","subCA1_48",97,85,"pos","block2"
"383","subCA1_48",2,6,"neg","block3"
"384","subCA1_48",98,94,"pos","block3"
"385","subCA1_49",99,17,"neg","block0"
"386","subCA1_49",75,54,"pos","block0"
"387","subCA1_49",38,14,"neg","block1"
"388","subCA1_49",91,77,"pos","block1"
"389","subCA1_49",19,25,"neg","block2"
"390","subCA1_49",74,56,"pos","block2"
"391","subCA1_49",31,37,"neg","block3"
"392","subCA1_49",73,39,"pos","block3"
"393","subCA1_50",34,19,"neg","block0"
"394","subCA1_50",61,42,"pos","block0"
"395","subCA1_50",45,43,"neg","block1"
"396","subCA1_50",54,52,"pos","block1"
"397","subCA1_50",27,34,"neg","block2"
"398","subCA1_50",84,82,"pos","block2"
"399","subCA1_50",18,13,"neg","block3"
"400","subCA1_50",85,83,"pos","block3"
"401","subCA1_51",41,53,"neg","block0"
"402","subCA1_51",56,61,"pos","block0"
"403","subCA1_51",13,15,"neg","block1"
"404","subCA1_51",88,92,"pos","block1"
"405","subCA1_51",4,4,"neg","block2"
"406","subCA1_51",93,57,"pos","block2"
"407","subCA1_51",6,7,"neg","block3"
"408","subCA1_51",84,58,"pos","block3"
"409","subCA1_52",75,18,"neg","block0"
"410","subCA1_52",19,69,"pos","block0"
"411","subCA1_52",22,17,"neg","block1"
"412","subCA1_52",82,27,"pos","block1"
"413","subCA1_52",4,7,"neg","block2"
"414","subCA1_52",22,12,"pos","block2"
"415","subCA1_52",7,5,"neg","block3"
"416","subCA1_52",73,56,"pos","block3"
"417","subCA1_53",21,79,"neg","block0"
"418","subCA1_53",73,26,"pos","block0"
"419","subCA1_53",28,68,"neg","block1"
"420","subCA1_53",69,30,"pos","block1"
"421","subCA1_53",33,65,"neg","block2"
"422","subCA1_53",69,36,"pos","block2"
"423","subCA1_53",38,64,"neg","block3"
"424","subCA1_53",64,29,"pos","block3"
"425","subCA1_54",60,20,"neg","block0"
"426","subCA1_54",23,26,"pos","block0"
"427","subCA1_54",29,34,"neg","block1"
"428","subCA1_54",74,31,"pos","block1"
"429","subCA1_54",63,51,"neg","block2"
"430","subCA1_54",36,32,"pos","block2"
"431","subCA1_54",28,66,"neg","block3"
"432","subCA1_54",73,18,"pos","block3"
"433","subCA1_55",3,16,"neg","block0"
"434","subCA1_55",73,23,"pos","block0"
"435","subCA1_55",25,0,"neg","block1"
"436","subCA1_55",98,95,"pos","block1"
"437","subCA1_55",13,0,"neg","block2"
"438","subCA1_55",98,70,"pos","block2"
"439","subCA1_55",0,0,"neg","block3"
"440","subCA1_55",100,100,"pos","block3"
"441","subCA1_56",50,0,"neg","block0"
"442","subCA1_56",55,72,"pos","block0"
"443","subCA1_56",32,16,"neg","block1"
"444","subCA1_56",93,94,"pos","block1"
"445","subCA1_56",18,19,"neg","block2"
"446","subCA1_56",92,93,"pos","block2"
"447","subCA1_56",30,26,"neg","block3"
"448","subCA1_56",79,84,"pos","block3"
"449","subCA1_57",73,26,"neg","block0"
"450","subCA1_57",76,29,"pos","block0"
"451","subCA1_57",23,21,"neg","block1"
"452","subCA1_57",79,67,"pos","block1"
"453","subCA1_57",23,4,"neg","block2"
"454","subCA1_57",95,72,"pos","block2"
"455","subCA1_57",3,0,"neg","block3"
"456","subCA1_57",73,100,"pos","block3"
"457","subCA1_58",15,14,"neg","block0"
"458","subCA1_58",85,14,"pos","block0"
