"","uid","ext_int","spec_glob","valence","block"
"349","subCALEARN_44",0,100,"neg","block2"
"350","subCALEARN_44",100,100,"pos","block2"
"351","subCALEARN_44",0,0,"neg","block3"
"352","subCALEARN_44",100,100,"pos","block3"
"353","subCALEARN_45",77,24,"neg","block0"
"354","subCALEARN_45",22,79,"pos","block0"
"355","subCALEARN_45",0,0,"neg","block1"
"356","subCALEARN_45",77,100,"pos","block1"
"357","subCALEARN_45",17,0,"neg","block2"
"358","subCALEARN_45",77,100,"pos","block2"
"359","subCALEARN_45",15,0,"neg","block3"
"360","subCALEARN_45",84,100,"pos","block3"
"361","subCALEARN_46",0,100,"neg","block0"
"362","subCALEARN_46",100,0,"pos","block0"
"363","subCALEARN_46",100,0,"neg","block1"
"364","subCALEARN_46",100,100,"pos","block1"
"365","subCALEARN_46",0,69,"neg","block2"
"366","subCALEARN_46",100,71,"pos","block2"
"367","subCALEARN_46",0,0,"neg","block3"
"368","subCALEARN_46",100,100,"pos","block3"
"369","subCALEARN_47",51,19,"neg","block0"
"370","subCALEARN_47",70,71,"pos","block0"
"371","subCALEARN_47",61,33,"neg","block1"
"372","subCALEARN_47",79,36,"pos","block1"
"373","subCALEARN_47",62,38,"neg","block2"
"374","subCALEARN_47",84,18,"pos","block2"
"375","subCALEARN_47",61,38,"neg","block3"
"376","subCALEARN_47",68,28,"pos","block3"
"377","subCALEARN_48",0,100,"neg","block0"
"378","subCALEARN_48",100,0,"pos","block0"
"379","subCALEARN_48",100,0,"neg","block1"
"380","subCALEARN_48",0,90,"pos","block1"
"381","subCALEARN_48",11,85,"neg","block2"
"382","subCALEARN_48",83,15,"pos","block2"
"383","subCALEARN_48",3,100,"neg","block3"
"384","subCALEARN_48",79,22,"pos","block3"
"385","subCALEARN_49",0,100,"neg","block0"
"386","subCALEARN_49",100,0,"pos","block0"
"387","subCALEARN_49",100,100,"neg","block1"
"388","subCALEARN_49",100,0,"pos","block1"
"389","subCALEARN_49",0,100,"neg","block2"
"390","subCALEARN_49",100,100,"pos","block2"
"391","subCALEARN_49",0,0,"neg","block3"
"392","subCALEARN_49",100,100,"pos","block3"
"393","subCALEARN_50",64,40,"neg","block0"
"394","subCALEARN_50",78,67,"pos","block0"
"395","subCALEARN_50",81,25,"neg","block1"
"396","subCALEARN_50",63,72,"pos","block1"
"397","subCALEARN_50",41,24,"neg","block2"
"398","subCALEARN_50",55,67,"pos","block2"
